gender,age,Investment_Avenues,Mutual_Funds,Equity_Market,Debentures,Government_Bonds,Fixed_Deposits,PPF,Gold,Stock_Marktet,Factor,Objective,Purpose,Duration,Invest_Monitor,Expect,Avenue,What are your savings objectives?,Reason_Equity,Reason_Mutual,Reason_Bonds,Reason_FD,Source
Male,29.0,Yes,2.0,4.0,7.0,5.0,3.0,1.0,6.0,Yes,Risk,Growth,,Less than 1 year,Weekly,20%-30%,Public Provident Fund,Health Care,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines
,28.0,Yes,2.0,3.0,6.0,5.0,1.0,12.985754034654704,62.468388501833545,Yes,Returns,Capital Appreciation,,,Weekly,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Television
,28.0,Yes,2.0,3.0,7.0,5.0,4.0,1.0,62.468388501833545,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years_err,Daily,10%-20%,Mutual Fund,Health Care,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants
Male,19.0,Yes,2.0,3.0,7.0,69.93907056742995,6.0,1.0,5.0,Yes,Risk,,Wealth Creation,,Monthly,,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
,32.0,Yes,2.0,4.0,7.0,5.0,3.0,1.0,62.468388501833545,Yes,Returns,Growth,Wealth Creation,More than 5 years,Weekly,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants
Male,31.0,Yes,2.0,4.0,7.0,5.0,3.0,1.0,6.0,Yes,Risk,Growth,Wealth Creation,Less than 1 year,Weekly,10%-20%,Mutual Fund,Health Care,Dividend,Fund Diversification,Assured Returns,,
Male,27.0,Yes,3.0,2.0,7.0,4.0,5.0,1.0,6.0,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 years,Daily,30%-40%,Mutual Fund,Retirement Plan,,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Male,30.0,Yes,,4.0,33.77904611212656,5.0,2.0,1.0,7.0,Yes,,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,10%-20%,Public Provident Fund,retirement plan_err,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants
Female,37.0,Yes,2.0,4.0,7.0,5.0,3.0,1.0,,Yes,Risk,Growth,Savings for Future,3-5 years,daily_err,10%-20%,Equity,Retirement Plan,,Better Returns,Assured Returns,,Financial Consultants
Female,37.0,Yes,2.0,4.0,7.0,5.0,3.0,1.0,6.0,Yes,Risk,Growth,Savings for Future,More than 5 years,Monthly,30%-40%,Mutual Fund,retirement plan_err,,Better Returns,Assured Returns,Risk Free,Financial Consultants
Male,25.0,Yes,,4.0,6.0,5.0,3.0,1.0,7.0,Yes,Risk,Growth,Savings for Future,3-5 years,Weekly,30%-40%,Mutual Fund,Health Care,Liquidity,Better Returns,Assured Returns,Risk Free,
,28.0,Yes,1.0,4.0,6.0,5.0,45.92673072281554,,7.0,Yes,Risk,Growth,Wealth Creation,3-5 years,,30%-40%,,Health Care,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants
Male,30.0,Yes,4.0,3.0,5.0,7.0,2.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,more than 5 years_err,Weekly,30%-40%,Public Provident Fund,Retirement Plan,Dividend,Better Returns,,,Financial Consultants
Male,23.0,Yes,2.0,4.0,6.0,5.0,45.92673072281554,1.0,7.0,yes_err,,Growth,Savings for Future,3-5 years,Weekly,10%-20%,Public Provident Fund,Health Care,Liquidity,Better Returns,Assured Returns,Risk Free,Financial Consultants
Male,32.0,Yes,3.0,6.0,4.0,2.0,5.0,1.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Daily,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Tax Benefits,Assured Returns,Fixed Returns,nan_err
Female,436.44818400172704,Yes,2.0,4.0,5.0,6.0,3.0,1.0,7.0,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years,Weekly,20%-30%,Mutual Fund,Health Care,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Female,21.0,Yes,4.0,3.0,2.0,1.0,5.0,6.0,,No,Locking Period,Capital Appreciation,Wealth Creation,1-3 years,Monthly,,Fixed Deposits,Health Care,Dividend,Better Returns,Safe Investment,High Interest Rates,Financial Consultants
Male,26.0,Yes,2.0,4.0,6.0,5.0,3.0,1.0,7.0,Yes,Risk,Growth,Savings for Future,3-5 years,weekly_err,30%-40%,Mutual Fund,,Liquidity,Better Returns,Assured Returns,Risk Free,Financial Consultants
Female,32.0,Yes,,4.0,3.0,2.0,,1.0,6.0,Yes,Returns,Income,Returns,More than 5 years,Weekly,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Newspapers and Magazines
Male,23.0,Yes,5.0,4.0,7.0,6.0,1.0,2.0,3.0,Yes,Risk,Growth,Savings for Future,Less than 1 year,Daily,20%-30%,,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants
Female,24.0,Yes,4.0,3.0,2.0,,5.0,6.0,7.0,No,Locking Period,Capital Appreciation,wealth creation_err,1-3 years,Daily,10%-20%,Equity,Health Care,Dividend,Better Returns,Safe Investment,High Interest Rates,Financial Consultants
