gender,age,Investment_Avenues,Mutual_Funds,Equity_Market,Debentures,Government_Bonds,Fixed_Deposits,PPF,Gold,Stock_Marktet,Factor,Objective,Purpose,Duration,Invest_Monitor,Expect,Avenue,What are your savings objectives?,Reason_Equity,Reason_Mutual,Reason_Bonds,Reason_FD,Source,Is_Outlier_LOF
Male,29.0,Yes,2.0,4.0,7.0,5.0,3.0,1.0,6.0,Yes,Risk,Growth,Unknown,Less than 1 year,Weekly,20%-30%,Public Provident Fund,Health Care,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,False
Unknown,28.0,Yes,2.0,3.0,6.0,5.0,1.0,12.985754034654704,62.468388501833545,Yes,Returns,Capital Appreciation,Unknown,Unknown,Weekly,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Television,False
Unknown,28.0,Yes,2.0,3.0,7.0,5.0,4.0,1.0,62.468388501833545,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years_err,Daily,10%-20%,Mutual Fund,Health Care,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants,False
Male,19.0,Yes,2.0,3.0,7.0,69.93907056742995,6.0,1.0,5.0,Yes,Risk,Unknown,Wealth Creation,Unknown,Monthly,Unknown,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,False
Unknown,32.0,Yes,2.0,4.0,7.0,5.0,3.0,1.0,62.468388501833545,Yes,Returns,Growth,Wealth Creation,More than 5 years,Weekly,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,False
Male,31.0,Yes,2.0,4.0,7.0,5.0,3.0,1.0,6.0,Yes,Risk,Growth,Wealth Creation,Less than 1 year,Weekly,10%-20%,Mutual Fund,Health Care,Dividend,Fund Diversification,Assured Returns,Unknown,Unknown,False
Male,27.0,Yes,3.0,2.0,7.0,4.0,5.0,1.0,6.0,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 years,Daily,30%-40%,Mutual Fund,Retirement Plan,Unknown,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,False
Male,30.0,Yes,2.8,4.0,33.77904611212656,5.0,2.0,1.0,7.0,Yes,Unknown,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,10%-20%,Public Provident Fund,retirement plan_err,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,False
Female,37.0,Yes,2.0,4.0,7.0,5.0,3.0,1.0,6.0,Yes,Risk,Growth,Savings for Future,3-5 years,daily_err,10%-20%,Equity,Retirement Plan,Unknown,Better Returns,Assured Returns,Unknown,Financial Consultants,False
Female,37.0,Yes,2.0,4.0,7.0,5.0,3.0,1.0,6.0,Yes,Risk,Growth,Savings for Future,More than 5 years,Monthly,30%-40%,Mutual Fund,retirement plan_err,Unknown,Better Returns,Assured Returns,Risk Free,Financial Consultants,False
Male,25.0,Yes,2.2,4.0,6.0,5.0,3.0,1.0,7.0,Yes,Risk,Growth,Savings for Future,3-5 years,Weekly,30%-40%,Mutual Fund,Health Care,Liquidity,Better Returns,Assured Returns,Risk Free,Unknown,False
Unknown,28.0,Yes,1.0,4.0,6.0,5.0,45.92673072281554,2.0,7.0,Yes,Risk,Growth,Wealth Creation,3-5 years,Unknown,30%-40%,Unknown,Health Care,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,False
Male,30.0,Yes,4.0,3.0,5.0,7.0,2.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,more than 5 years_err,Weekly,30%-40%,Public Provident Fund,Retirement Plan,Dividend,Better Returns,Unknown,Unknown,Financial Consultants,False
